date,open,high,low,close,volume,trade_count,vwap
2022-04-19,437.86,445.8,437.68,445.04,79209141.0,599076.0,443.359495
2022-04-20,446.92,447.57,443.48,444.71,66224261.0,595915.0,445.630069
2022-04-21,448.54,450.01,437.1,438.06,86898329.0,722881.0,442.653343
2022-04-22,436.91,438.0825,425.44,426.04,134318097.0,970518.0,429.856012
2022-04-25,423.67,428.69,418.84,428.51,121150668.0,1146072.0,423.707939
2022-04-26,425.83,426.04,416.07,416.1,104173893.0,1007660.0,420.196992
2022-04-27,417.24,422.92,415.01,417.27,122342063.0,1010493.0,419.130523
2022-04-28,422.29,429.64,417.6,427.81,107789356.0,807524.0,424.619909
2022-04-29,423.59,425.87,411.21,412.0,148702518.0,1146290.0,416.77429
2022-05-02,412.07,415.92,405.02,414.48,160312749.0,1466167.0,410.958254
2022-05-03,415.01,418.93,413.36,416.38,102021088.0,854787.0,416.170578
2022-05-04,417.08,429.66,413.7099,429.06,146219632.0,1465495.0,421.261871
2022-05-05,424.55,425.0,409.44,413.81,175971084.0,1586339.0,414.973636
2022-05-06,411.1,414.8,405.73,411.34,153284691.0,1529625.0,410.237083
2022-05-09,405.1,406.41,396.5,398.17,155879661.0,1422455.0,401.230595
2022-05-10,404.49,406.08,394.82,399.09,135027626.0,1467440.0,399.85982
2022-05-11,398.07,404.04,391.96,392.75,144045270.0,1530008.0,397.464628
2022-05-12,389.37,395.8,385.15,392.34,126713465.0,1485294.0,389.854629
2022-05-13,396.71,403.18,395.61,401.72,104349084.0,857305.0,400.265639
2022-05-16,399.98,403.97,397.6,400.09,80100945.0,734542.0,400.574387
2022-05-17,406.53,408.57,402.5824,408.32,83226741.0,743976.0,406.062846
2022-05-18,403.5,403.8,390.55,391.86,117836734.0,967500.0,395.126182
2022-05-19,388.62,394.14,387.11,389.46,99939615.0,937788.0,390.357965
2022-05-20,393.25,397.03,380.54,389.63,131446436.0,1097334.0,386.245461
2022-05-23,392.83,397.73,390.38,396.92,76648121.0,714915.0,395.15103
2022-05-24,392.56,395.15,386.96,393.89,92541551.0,804229.0,391.057283
2022-05-25,392.31,399.45,391.89,397.37,92887420.0,768577.0,395.982147
2022-05-26,398.67,407.04,398.45,405.31,83804711.0,606439.0,404.707779
2022-05-27,407.91,415.3801,407.7,415.26,87207078.0,601624.0,412.60133
2022-05-31,413.55,416.46,410.03,412.93,97389986.0,713846.0,413.402171
2022-06-01,415.17,416.24,406.93,409.59,87995482.0,697750.0,410.640075
2022-06-02,409.42,417.44,407.04,417.34,81695452.0,616253.0,413.262907
2022-06-03,412.4,414.04,409.51,410.54,72004446.0,576320.0,411.292328
2022-06-06,414.78,416.609,410.5523,411.79,58402477.0,473555.0,413.175019
2022-06-07,408.1,416.22,407.61,415.74,59483946.0,481783.0,412.955517
2022-06-08,413.93,415.82,410.38,411.22,65642329.0,505050.0,412.649919
2022-06-09,409.34,411.74,401.44,401.44,88177354.0,580043.0,406.674728
2022-06-10,394.88,395.7777,389.75,389.8,135486175.0,910961.0,391.628764
2022-06-13,379.85,381.81,373.3,375.0,173443346.0,1138052.0,377.168876
2022-06-14,376.85,377.94,370.59,373.87,105591082.0,826157.0,374.188769
2022-06-15,377.36,383.9,372.12,379.2,128798622.0,1079876.0,378.339522
2022-06-16,370.51,370.94,364.0799,366.65,138951395.0,911471.0,367.08129
2022-06-17,365.51,369.38,362.17,365.86,111452712.0,824882.0,366.377372
2022-06-21,371.89,376.525,371.81,375.07,79074527.0,581114.0,374.981581
2022-06-22,370.62,378.72,370.18,374.39,91634199.0,607597.0,375.518947
2022-06-23,376.64,378.83,372.89,378.06,80303462.0,632100.0,376.116511
2022-06-24,381.4,390.09,381.365,390.08,98013848.0,629863.0,387.019806
